"name","symbol","keyword","flowering_time_effect","conditions_for_effect","phenotype","agi","appears_in","key_articles"
"SCHNARCHZAPFEN","SNZ","Aging Photoperiodism, light perception and  signaling","Negative","LD [no data under SD]","Multiple mutant: smz, snz, toe1, and toe2 mutations have additive effects and lead to an early-flowering phenotype under LD conditions. ( No data available under SD conditions.) [Jung et al., 2011][Jung et al., 2012][Mathieu et al., 2009][Yant et al., 2010] Overexpressor: SNZ overexpressor is late flowering under LD conditions. ( No data available under SD conditions.) [Jung et al., 2007][Schmid et al., 2003] Single mutant: snz single mutant does not display any flowering-time phenotype. [Mathieu et al., 2009]","AT2G39250","Temperature pathwayAging pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Okamuro J K et al., 1997, Proc. Natl. Acad. Sci. U.S.A.Schmid M et al., 2003, DevelopmentJung J et al., 2007, Plant CellMathieu J et al., 2009, PLoS Biol.Zhu Q et al., 2011, J. Exp. Bot.Zou Y et al., 2013, PLoS ONE"
"SENSITIVITY TO RED LIGHT REDUCED 1","SRR1","Circadian Clock Photoperiodism, light perception and  signaling","Negative","SD and LD","Single mutant: srr1 single mutant is early flowering under both SD and LD conditions. [Johansson et al., 2014][Staiger et al., 2003] Remarks: srr1 single mutant has reduced FLC expression levels. [Johansson et al., 2014]","AT5G59560","Circadian clock overviewPhotoperiod pathway","Staiger D et al., 2003, Genes Dev.Johansson M et al., 2014, J. Exp. Bot."
"SEPALLATA 2","SEP2","Flower development and meristem identity",,"None","Multiple mutant: sep1;sep2;sep3 multiple mutant produces flowers in which all organs develop as sepals. [Pelaz et al., 2000]","AT3G02310","Mains targets of ABC(E)genesKinetics of ABC(E) genes expression","Pelaz S et al., 2000, NaturePelaz S et al., 2001, Curr. Biol.Favaro R et al., 2003, Plant CellZahn L M et al., 2005, GeneticsJetha K et al., 2014, Nucleic Acids Res."
"SEPALLATA 3","SEP3","Flower development and meristem identity",,"None","Multiple mutant: sep1;sep2;sep3 multiple mutant produces flowers in which all organs develop as sepals. [Pelaz et al., 2000] Overexpressor: SEP3 overexpression promotes the transformation of sepals and inflorescence meristems into carpeloid structures. [Castillejo et al., 2005]","AT1G24260","Mains targets of ABC(E)genesKinetics of ABC(E) genes expressionSpecification of flower mersitemsVernalization","Ma H et al., 1991, Genes Dev.Pelaz S et al., 2000, NaturePelaz S et al., 2001, Curr. Biol.Honma T et al., 2001, NatureFavaro R et al., 2003, Plant CellZahn L M et al., 2005, GeneticsCastillejo C et al., 2005, Plant J.Kaufmann K et al., 2009, PLoS Biol.Jetha K et al., 2014, Nucleic Acids Res.Puranik S et al., 2014, Plant Cell"
"SEPALLATA 4","SEP4","Flower development and meristem identity",,"None","Multiple mutant: The floral organs of the sep1;sep2;sep3;sep4 multiple mutant are converted into leaf-like structures, enhancing the phenotype of sep1;sep2;sep3 triple mutant. [Ditta et al., 2004] Single mutant: sep4 single mutant does not display any floral defects. [Ditta et al., 2004]","AT2G03710","Mains targets of ABC(E)genesKinetics of ABC(E) genes expression","Ma H et al., 1991, Genes Dev.Pelaz S et al., 2001, Curr. Biol.Favaro R et al., 2003, Plant CellDitta G et al., 2004, Curr. Biol.Zahn L M et al., 2005, GeneticsJetha K et al., 2014, Nucleic Acids Res."
"SEPALLATA1","SEP1","Flower development and meristem identity",,"None","Multiple mutant: sep1;sep2;sep3 multiple mutant produces flowers in which all organs develop as sepals. [Pelaz et al., 2000]","AT5G15800","Mains targets of ABC(E)genesKinetics of ABC(E) genes expression","Ma H et al., 1991, Genes Dev.Fan H Y et al., 1997, Plant J.Pelaz S et al., 2000, NaturePelaz S et al., 2001, Curr. Biol.Favaro R et al., 2003, Plant CellZahn L M et al., 2005, Genetics"
"SERRATED LEAVES AND EARLY FLOWERING, ATSWC6","SEF, SWC6","General","Negative","SD and LD","Single mutant: sef single mutant is early flowering under both SD and LD conditions.[March-Díaz et al., 2007][Lázaro et al., 2008] Overexpressor: SEF overexpressor does not display any flowering-time phenotype. [Lázaro et al., 2008] Remarks: sef single mutant has reduced FLC expression levels. [Lázaro et al., 2008] Remarks: Remarks","AT5G37055","FLC regulation through protein complexesGeneral processes & autonomous pathway","Choi K et al., 2007, DevelopmentMarch-Díaz R et al., 2007, Plant Physiol.Lázaro A et al., 2008, J. Exp. Bot.Göhring J et al., 2014, Plant Cell"
"SET DOMAIN GROUP 26, ASH1-RELATED PROTEIN 1","SDG26, ASHH1","General","Positive","SD and LD","Single mutant: sdg26 single mutant is late flowering under both SD and LD conditions.[Xu et al., 2008][Berr et al., 2015] Remarks: The late-flowering phenotype of the sdg26 single mutant is caused by increased FLC and MAF expression levels. The mechanisms through which this upregulation occurs remains unclear. SDG26 also binds to the SOC1 locus.[Xu et al., 2008][Berr et al., 2015]","AT1G76710","General processes & autonomous pathway","Masucci M T et al., 1989, TumoriXu L et al., 2008, Mol. Cell. Biol.Valencia-Morales M d P et al., 2012, J. Plant Res.Berr A et al., 2015, Plant J."
"SET DOMAIN-CONTAINING PROTEIN 7,  HISTONE-LYSINE N-METHYLTRANSFERASE ASHH3","SDG7, ASSH3","Vernalization","Negative","SD [no data under LD]","Single mutant: sdg7 single mutant is early flowering under LD conditions in the Col FRI background. ( No data available under SD conditions.) [Lee et al., 2015] Remarks: sdg7 single mutant shows a more rapid induction of VIN3 expression upon cold exposure, has more H3K27me3 repressive marks at the FLC locus, and has a hypersensitive vernalization response as compared to Col FRI WT. [Lee et al., 2015] Remarks: Remarks","AT2G44150","Vernalization","Sahr T et al., 2010, Plant Cell Physiol.Lee J et al., 2015, Proc. Natl. Acad. Sci. U.S.A."
"SEUSS","SEU","Flower development and meristem identity",,"None","Single mutant: seuss single mutant produces flowers with partial homeotic transformation of the two outer whorls. [Franks et al., 2002] Remarks: SEUSS, together with LEUNIG, regulates the expression of MIR172. LEUNIG and SEUSS were shown to interact both in vitro and in vivo. [Grigorova et al., 2011][Sridhar et al., 2004] Remarks: LEUNIG is required for the repression of AGAMOUS expression during flower development. [Liu et al., 1995] Multiple mutant: seuss;leunig double mutant shows enhanced homeotic floral defects. [Franks et al., 2002][Sridhar et al., 2004]","AT1G43850","Mains targets of ABC(E)genes","Franks R G et al., 2002, DevelopmentSridhar V V et al., 2004, Proc. Natl. Acad. Sci. U.S.A.Franks R G et al., 2006, PlantaSridhar V V et al., 2006, DevelopmentBao F et al., 2010, Plant Physiol.Grigorova B et al., 2011, DevelopmentWynn A N et al., 2014, Front Plant SciLee J E et al., 2014, Plant J."
"SHATTERPROOF 1, AGAMOUS-LIKE 1","SHP1, AGL1","Flower development and meristem identity",,"None","Multiple mutant: shp1;shp2 multiple mutant displays fruit developmental defects, such as abnormal valve margin and seed dehiscence. However, the ovule development is normal. [Liljegren et al., 2000] Remarks: Remarks","AT3G58780","Mains targets of ABC(E)genes","Ma H et al., 1991, Genes Dev.Savidge B et al., 1995, Plant CellFlanagan C A et al., 1996, Plant J.Liljegren S J et al., 2000, NatureFavaro R et al., 2003, Plant CellBrambilla V et al., 2007, Plant CellColombo M et al., 2010, Dev. Biol.Losa A et al., 2010, Sex. Plant Reprod."
"SHATTERPROOF 2, AGAMOUS-LIKE 5","SHP2, AGL5","Flower development and meristem identity",,"None","Multiple mutant: shp1;shp2 multiple mutant displays fruit developmental defects, such as abnormal valve margin and seed dehiscence. However, the ovule development is normal. [Liljegren et al., 2000] Remarks: Remarks","AT2G42830","Mains targets of ABC(E)genes","Ma H et al., 1991, Genes Dev.Savidge B et al., 1995, Plant CellLiljegren S J et al., 2000, NatureFavaro R et al., 2003, Plant CellBrambilla V et al., 2007, Plant CellColombo M et al., 2010, Dev. Biol.Losa A et al., 2010, Sex. Plant Reprod."
"SHK1 BINDING PROTEIN 1 , PROTEIN ARGININE METHYLTRANSFERASE 5","SKB1, PRMT5","General","Positive","SD and LD","Single mutant: skb1 single mutant is late flowering under both SD and LD conditions. [Wang et al., 2007][Zhang et al., 2011][Schmitz et al., 2008][Pei et al., 2007][Schmitz et al., 2008] Overexpressor: SKB1 overexpressor is early flowering under LD conditions. ( No data available under SD conditions.)[Wang et al., 2007] Remarks: skb1 single mutant has increased FLC expression levels. [Schmitz et al., 2008][Wang et al., 2007]","AT4G31120","General processes & autonomous pathway","Wang X et al., 2007, EMBO J.Pei Y et al., 2007, Plant Physiol.Schmitz R J et al., 2008, Proc. Natl. Acad. Sci. U.S.A.Sanchez S E et al., 2010, NatureZhang Z et al., 2011, Plant CellFu Y et al., 2013, Plant CellFan H et al., 2014, Plant J."
"SHOOT MERISTEMLESS, SHOOTLESS, WALDMEISTER 1","STM, SHL, WAM1","Flower development and meristem identity",,"None","Single mutant: stm single mutant lacks an embryonic shoot meristem. They also display different shoot apical mersitem defects throughout their life cycle. [ et al., ][Clark et al., 1996] Overexpressor: The overexpression of STM leads to the development of ectopic meristems and leaf developmental defects. [ et al., ][Gallois et al., 2002][Lenhard et al., 2002]","AT1G62360",,"Clark S E et al., 1996, DevelopmentLong J A et al., 1996, NatureEndrizzi K et al., 1996, Plant J.Rupp H M et al., 1999, Plant J.Aida M et al., 1999, DevelopmentLenhard M et al., 2002, DevelopmentBhatt A M et al., 2004, GeneUchida N et al., 2007, Proc. Natl. Acad. Sci. U.S.A.Smith H M S et al., 2011, J. Exp. Bot.Scofield S et al., 2013, Plant J.Liebsch D et al., 2014, DevelopmentAguilar-Martínez J A et al., 2015, Plant Physiol."
"SHORT LIFE1 , SHORT LIFE","SHL1, SHL","General","Negative","SD and LD","Single mutant: shl single mutant is early flowering under both SD and LD conditions. [López-González et al., 2014] Multiple mutant: ebs;shl double mutant has additive effects: the double mutant flowers earlier than either single mutants. [López-González et al., 2014] Remarks: SHL is involved in the negative regulation of SOC1 expression. [López-González et al., 2014]","AT4G39100","General processes & autonomous pathway","Müssig C et al., 2000, Mol. Gen. Genet.López-González L et al., 2014, Plant Cell"
"SHORT VEGETATIVE PHASE","SVP","Flowering time integrator","Negative","SD and LD","Single mutant: svp single mutant is early flowering under both SD and LD conditions.[Hartmann et al., 2000][Li et al., 2008][Andrés et al., 2014][Li et al., 2015][Fujiwara et al., 2008][ et al., ][Balanzà et al., 2014][Jang et al., 2009][Cho et al., 2012][Posé et al., 2013][Lee et al., 2013] Remarks: SVP is involved in both flower development and control of flowering time.[Gregis et al., 2006][Gregis et al., 2008][Gregis et al., 2009][Grandi et al., 2012][Liu et al., 2009] Overexpressor: SVP overexpressor is late flowering under both SD and LD conditions. [Hartmann et al., 2000][Li et al., 2015][Fujiwara et al., 2008][Yoshida et al., 2009][Balanzà et al., 2014][Cho et al., 2012][Posé et al., 2013] Remarks: The flowering-time phenotype of svp single mutant is temperature-insensitive.  Remarks: FLC and SVP have a subset of common targets: the FLC-SVP duplex binds to multiple flowering time genes, including gibberelin-related factors. However, FLC and SVP also their own specific targets. [Mateos et al., 2015]","AT2G22540","OverviewTemperature pathwayAging pathwayPhotoperiod pathwayMains targets of ABC(E)genesSpecification of flower mersitemsVernalization","Hartmann U et al., 2000, Plant J.Gregis V et al., 2006, Plant CellLee J H et al., 2007, Genes Dev.Fujiwara S et al., 2008, Plant CellLi D et al., 2008, Dev. CellGregis V et al., 2008, Plant J.Gregis V et al., 2009, Plant J.Jang S et al., 2009, Plant J.Cho H J et al., 2012, FEBS Lett.Posé D et al., 2013, NatureLee J H et al., 2013, ScienceGregis V et al., 2013, Genome Biol.Andrés F et al., 2014, Proc. Natl. Acad. Sci. U.S.A.Mateos J L et al., 2015, Genome Biol."
"SIMILAR TO RCD ONE 1","SRO1","General","Positive","SD only","Single mutant: sro1 single mutant is late flowering under SD conditions only. [Teotia et al., 2009] Remarks: sro1 single has pleiotropic defects, including root architecture alterations. [Teotia et al., 2009][Teotia et al., 2011]","AT2G35510","General processes & autonomous pathway","Ahlfors R et al., 2004, Plant CellTeotia S et al., 2009, Plant Physiol.Jaspers P et al., 2009, Plant J.Teotia S et al., 2011, J. Exp. Bot."
"SIN3 ASSOCIATED POLYPEPTIDE P18","SAP18","Flower development and meristem identity",,"None","artificial microRNA: Downregulation of SAP18 expression by an articificial microRNA enhances the aberrant floral morphology of the svp single mutant. [Liu et al., 2009]","AT2G45640",,"Song C et al., 2006, Plant Mol. Biol.Liu C et al., 2009, Dev. CellKagale S et al., 2011, Epigenetics"
"SPA1-RELATED 1","SPA1","Photoperiodism, light perception and  signaling","Negative","SD only","Single mutant: spa1 single mutant is early flowering under SD conditions only. [Ishikawa et al., 2006][Chen et al., 2010][ et al., ][Laubinger et al., 2006][Zuo et al., 2011] Multiple mutant: spa1, spa3, and spa4 mutations has additive effects and lead to an early-flowering phenotype under both SD and LD conditions. ( The phenotype is stronger under SD conditions. The early flowering-time phenotype of the multiple mutant requires spa1 mutation, since spa2;spa3;spa4 multiple mutant shows only minor flowering time alterations.) [ et al., ][Laubinger et al., 2006][Laubinger et al., 2006][Balcerowicz et al., 2011]","AT2G46340","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Hoecker U et al., 1998, Plant CellHoecker U et al., 1999, ScienceHoecker U et al., 2001, J. Biol. Chem.Seo H S et al., 2003, NatureIshikawa M et al., 2006, Plant J.Laubinger S et al., 2006, DevelopmentZhu D et al., 2008, Plant CellSaijo Y et al., 2008, Mol. CellZuo Z et al., 2011, Curr. Biol.Liu B et al., 2011, Genes Dev."
"SPA1-RELATED 3","SPA3","Photoperiodism, light perception and  signaling","Negative","SD only","Single mutant: spa3 single mutant does not display any flowering-time phenotype. [Laubinger et al., 2006] Multiple mutant: spa1, spa3, and spa4 mutations has additive effects and lead to an early-flowering phenotype under both SD and LD conditions. ( The phenotype is stronger under SD conditions. The early flowering-time phenotype of the multiple mutant requires spa1 mutation, since spa2;spa3;spa4 multiple mutant shows only minor flowering time alterations.) [ et al., ][Laubinger et al., 2006][Laubinger et al., 2006][Balcerowicz et al., 2011]","AT3G15354","Photoperiod pathway","Laubinger S et al., 2003, Plant J.Laubinger S et al., 2004, Plant CellLaubinger S et al., 2006, DevelopmentFittinghoff K et al., 2006, Plant J.Zhu D et al., 2008, Plant Cell"
"SPA1-RELATED 4","SPA4","Photoperiodism, light perception and  signaling","Negative","SD only","Single mutant: spa4 single mutant does not display any flowering-time phenotype. [Laubinger et al., 2006] Multiple mutant: spa1, spa3, and spa4 mutations has additive effects and lead to an early-flowering phenotype under both SD and LD conditions. ( The phenotype is stronger under SD conditions. The early flowering-time phenotype of the multiple mutant requires spa1 mutation, since spa2;spa3;spa4 multiple mutant shows only minor flowering time alterations.) [ et al., ][Laubinger et al., 2006][Laubinger et al., 2006][Balcerowicz et al., 2011]","AT1G53090","Photoperiod pathway","Laubinger S et al., 2003, Plant J.Laubinger S et al., 2004, Plant CellLaubinger S et al., 2006, DevelopmentFittinghoff K et al., 2006, Plant J.Zhu D et al., 2008, Plant Cell"
"SPOROCYTELESS , NOZZLE","SPL, NZZ","Flower development and meristem identity",,"None","Single mutant:Single mutant Overexpressor: Overexpressor Remarks: nzz single mutant displays anthers and ovule developmental defects. [Schiefthaler et al., 1999] Remarks: Remarks","AT4G27330","Mains targets of ABC(E)genes","Schiefthaler U et al., 1999, Proc. Natl. Acad. Sci. U.S.A.Yang W C et al., 1999, Genes Dev.Balasubramanian S et al., 2000, DevelopmentBalasubramanian S et al., 2002, DevelopmentSieber P et al., 2004, Plant Physiol.Ito T et al., 2004, NatureLi L et al., 2008, New Phytol.Liu X et al., 2009, Plant Physiol.Bencivenga S et al., 2012, Plant CellChen G et al., 2014, J Genet GenomicsYuan L et al., 2015, Cell Res.Wei B et al., 2015, Cell Res."
"SPT16","SPT16","General","Negative","SD and LD","Single mutant: spt16 single mutant is early flowering under both SD and LD conditions in terms of days to flowering. However, spt16 single mutant produces more leaves than wild-type plants under SD conditions. [Lolas et al., 2010] Remarks: Remarks Remarks: ssrp1 single mutant displays pleiotropic defects and has reduced FLC expression levels. [Lolas et al., 2010]","AT4G10710","FLC regulation through protein complexesGeneral processes & autonomous pathway","Duroux M et al., 2004, Plant J.Van Lijsebettens M et al., 2010, Plant Signal BehavLolas I B et al., 2010, Plant J."
"SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 15","SPL15","Aging","Positive","SD [no data under LD]","Single mutant: spl15 single mutant does not display any flowering-time phenotype under LD conditions. ( No data available under SD conditions.) [Schwarz et al., 2008] Multiple mutant: spl9;spl15 multiple mutant is late flowering under LD conditions.( No data available under SD conditions.) [Schwarz et al., 2008] Remarks: spl9;spl15 multiple mutant shows delayed transition from the juvenile to the adult phase. [Schwarz et al., 2008]","AT3G57920","Aging pathwayVernalization","Schwarz S et al., 2008, Plant Mol. Biol.Wu G et al., 2009, CellDeng W et al., 2011, Proc. Natl. Acad. Sci. U.S.A.Wei S et al., 2012, BMC Plant Biol."
"SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 3","SPL3","Aging Photoperiodism, light perception and  signaling Hormones","Positive","SD and LD","Overexpressor: Overexpression of a miR156-resistant version of SPL3 accelerates the transition from the juvenile to the adulte phase and leads to early flowering under both SD and LD conditions. [Wu et al., 2006][Gandikota et al., 2007][Kim et al., 2012][Jung et al., 2012][Cardon et al., 1997][Jung et al., 2011][Wang et al., 2009] Remarks: SPL3 expression increases in the shoot apical meristem during the photoperiodic induction of flowering. [Schmid et al., 2003] Remarks: In Wang et al. (2006), an artificial microRNA downregulating the expression of SPL4 and SPL5 was introduced in a spl3 single mutant background. Transgenic plants have normal plastochron, but there is no mention of the flowering-time phenotype. [Wang et al., 2008]","AT2G33810","OverviewHormone pathwayAging pathwayPhotoperiod pathwaySugar pathway","Cardon G H et al., 1997, Plant J.Wu G et al., 2006, DevelopmentGandikota M et al., 2007, Plant J.Yamaguchi A et al., 2009, Dev. CellWang J et al., 2009, CellWu G et al., 2009, CellJung J et al., 2011, Plant Mol. Biol.Kim J J et al., 2012, Plant Physiol.Jung J et al., 2012, Plant J."
"SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 4","SPL4","Aging Photoperiodism, light perception and  signaling Hormones","Positive","LD [no data under SD]","Overexpressor: Overexpression of a miR156-resistant version of SPL4 accelerates the transition from the juvenile to the adulte phase and leads to early flowering under LD conditions. ( No data available under SD conditions.)  Remarks: SPL4 expression increases in the shoot apical meristem during the photoperiodic induction of flowering. [Schmid et al., 2003]","AT1G53160","OverviewHormone pathwayAging pathwayPhotoperiod pathwaySugar pathway","Cardon G et al., 1999, GeneYamasaki K et al., 2004, J. Mol. Biol.Wu G et al., 2006, DevelopmentWang J et al., 2008, Plant CellWu G et al., 2009, CellJung J et al., 2012, Plant J.Wahl V et al., 2013, Science"
"SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 5","SPL5","Aging Photoperiodism, light perception and  signaling Hormones","Positive","LD [no data under SD]","Overexpressor: Overexpression of a miR156-resistant version of SPL5 accelerates the transition from the juvenile to the adulte phase and leads to early flowering under LD conditions. ( No data available under SD conditions.) [Wu et al., 2006] Remarks: SPL5 expression increases in the shoot apical meristem during the photoperiodic induction of flowering. [Schmid et al., 2003]","AT3G15270","OverviewHormone pathwayAging pathwayPhotoperiod pathwaySugar pathway","Cardon G et al., 1999, GeneWu G et al., 2006, DevelopmentWang J et al., 2008, Plant CellWu G et al., 2009, CellJung J et al., 2012, Plant J.Wahl V et al., 2013, Science"
"SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 8","SPL8","Flower development and meristem identity",,"None","Remarks: SPL8 seems to be involved in GA  signaling. [Zhang et al., 2007] Single mutant: spl8 single mutant does not display any flowering-time phenotype. [Unte et al., 2003] Remarks: spl8 single mutant shows altered pollen sac development. [Unte et al., 2003]","AT1G02065",,"Unte U S et al., 2003, Plant CellZhang Y et al., 2007, Plant Mol. Biol.Xing S et al., 2010, Plant CellXing S et al., 2013, Plant J."
"SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 9","SPL9","Aging","Positive","SD (multiple mutant)","Single mutant: spl9 single mutant does not display any flowering-time phenotype under LD conditions. ( No data available under SD conditions.) [Schwarz et al., 2008] Multiple mutant: spl9;spl15 multiple mutant is late flowering under LD conditions.( No data available under SD conditions.) [Schwarz et al., 2008] Remarks: spl9;spl15 multiple mutant has a delayed transition from the juvenile to the adult phase. [Schwarz et al., 2008] Remarks: SPL9, together with SPL10, activates the expression of MIR172. [Wu et al., 2009] Remarks: Expression of a miR156-resistant version of SPL9 leads to a dramatic decrease of the leaf-initiation rate. [Wang et al., 2008][Wu et al., 2009]","AT2G42200","OverviewHormone pathwayAging pathwaySugar pathway","Wang J et al., 2008, Plant CellSchwarz S et al., 2008, Plant Mol. Biol.Wang J et al., 2009, CellWu G et al., 2009, CellCui L et al., 2014, Plant J."
"STERILE APETALA","SAP","Flower development and meristem identity",,"None","Single mutant: sap single mutant shows flower architecture defects: sepals are carpelloid, petals are short and narrow or absent, and anthers are degenerated.[Byzova et al., 1999]","AT5G35770",,"Byzova M V et al., 1999, Genes Dev.Shatil-Cohen A et al., 2011, Plant J."
"STRUCTURE SPECIFIC RECOGNITION PROTEIN 1, HIGH MOBILITY GROUP, NUCLEOSOME/CHROMATIN ASSEMBLY FACTOR D","SSRP1, HMG, NFD","General","Negative","SD and LD","Single mutant: ssrp1 single mutant is early flowering under both SD and LD conditions in terms of days to flowering. However, ssrp1 single mutant produces more leaves than wild-type plants under SD conditions. [Lolas et al., 2010] Remarks: Remarks Remarks: ssrp1 single mutant displays pleiotropic defects and has reduced FLC expression levels. [Lolas et al., 2010]","AT3G28730","FLC regulation through protein complexesGeneral processes & autonomous pathway","Putnam C D et al., 1994, Mol. Cell. Biol.Gupta R et al., 1997, Plant Mol. Biol.Gupta R et al., 1998, Plant Mol. Biol.Duroux M et al., 2004, Plant J.Lolas I B et al., 2010, Plant J.Ikeda Y et al., 2011, Dev. Cell"
"SU(VAR)3-9-RELATED PROTEIN 5","SUVR5","General","Positive","LD [no data under SD]","Single mutant: suvr5 single mutant is late flowering under LD conditions. ( No data available under SD conditions.)[Caro et al., 2012]","AT2G23740","General processes & autonomous pathway","Caro E et al., 2012, PLoS Genet."
"SUCROSE SYNTHASE 4","SUS4","Sugar","Positive","SD and LD","Overexpressor: SUS4 overexpressor is early flowering under both SD and LD conditions. [Seo et al., 2011]Multiple mutant: sus1;sus2;sus3;sus4 multiple mutant does not display any flowering-time phenotype. [Barratt et al., 2009]","AT3G43190","Sugar pathway","Baud S et al., 2004, J. Exp. Bot.Bieniawska Z et al., 2007, Plant J.Barratt D H P et al., 2009, Proc. Natl. Acad. Sci. U.S.A.Seo P J et al., 2011, Plant J.Baroja-Fernández E et al., 2012, Proc. Natl. Acad. Sci. U.S.A.Santaniello A et al., 2014, Plant Cell Environ."
"SUCROSE-PROTON SYMPORTER 9","SUC9","Sugar","Negative","SD only","Single mutant: suc9 single mutant is late flowering under SD conditions only. [Sivitz et al., 2007]","AT5G06170","Sugar pathway","Sauer N et al., 2004, Plant J.Sivitz A B et al., 2007, Plant Physiol.Reinders A et al., 2012, Front Plant Sci"
"SUPERMAN , FLORAL DEFECTIVE 10","SUP, FLO10","Flower development and meristem identity",,"None","Single mutant:Single mutant Overexpressor: Overexpressor Remarks: sup single mutant has extra stamens. [Bowman et al., 1992] Remarks: Overexpression of SUP leads to multiple developmental defects, including dwarfism. [Hiratsu et al., 2002]","AT3G23130","Mains targets of ABC(E)genes","Schultz E A et al., 1991, Plant CellBowman J L et al., 1992, DevelopmentGaiser J C et al., 1995, Plant CellSakai H et al., 1995, NatureJacobsen S E et al., 1997, ScienceHuang H et al., 1998, Plant CellRohde A et al., 1999, Plant Cell Physiol.Sakai H et al., 2000, Plant CellMeister R J et al., 2002, DevelopmentHiratsu K et al., 2002, FEBS Lett.Yun J et al., 2002, Plant Cell Physiol.Nibau C et al., 2011, J. Exp. Bot.Malgieri G et al., 2011, Biopolymers"
"SUPPRESSOR OF FRIGIDA4","SUF4","Vernalization","Negative","SD and LD","Single mutant: suf4 mutation supresses the late-flowering phenotype of non-vernalized Col FRI plants. [Kim et al., 2006][Kim et al., 2006] Remarks: suf4 mutation has only very little or no effect on the flowering time of the Col-0 background [Kim et al., 2006][Kim et al., 2006][Ding et al., 2013] Remarks: SUF4 overexpressor requires a functional FRI allele to delay flowering. [Kim et al., 2006]","AT1G30970","FLC regulation through protein complexes","Kim S Y et al., 2006, DevelopmentKim S et al., 2006, Plant CellChoi K et al., 2011, Plant CellDing L et al., 2013, Plant Physiol.Bao Z et al., 2014, Nat Commun"
"SUPPRESSOR OF OVEREXPRESSION OF CO 1 , AGAMOUS-LIKE 20","SOC1, AGL20","Flowering time integrator","Positive","SD and LD","Single mutant: soc1 single mutant is late flowering under both SD and LD conditions. [ et al., ][Lee et al., 2000][Samach et al., 2000][Searle et al., 2006][Moon et al., 2005][Liu et al., 2008][Dorca-Fornell et al., 2011][Yoo et al., 2005] Remarks: soc1 single mutant is less sensitive to gibberellins.[Moon et al., 2003] Overexpressor: SOC1 overexpressor is early flowering under both SD and LD conditions. [Lee et al., 2000][ et al., ][Samach et al., 2000][Liu et al., 2008][Yoo et al., 2005]","AT2G45660","OverviewTemperature pathwayHormone pathwayAging pathwayPhotoperiod pathwaySugar pathwayMains targets of ABC(E)genesSpecification of flower mersitemsVernalization","Lee H et al., 2000, Genes Dev.Onouchi H et al., 2000, Plant CellHepworth S R et al., 2002, EMBO J.Moon J et al., 2003, Plant J.Yoo S K et al., 2005, Plant Physiol.Helliwell C A et al., 2006, Plant J.Liu C et al., 2008, DevelopmentLee J et al., 2008, Plant J.Seo E et al., 2009, Plant CellLee J et al., 2010, J. Exp. Bot.Immink R G H et al., 2012, Plant Physiol.Hou X et al., 2014, Nat CommunKimura Y et al., 2015, Plant Cell Physiol."
"TARGET OF EARLY ACTIVATION TAGGED 1 , RELATED TO AP2.7","TOE1, RAP2.7","Aging Photoperiodism, light perception and  signaling","Negative","SD and LD","Single mutant: toe1 single mutant is early flowering under both SD and LD conditions. [Jung et al., 2007][Aukerman et al., 2003][Jung et al., 2011][Jung et al., 2012] Overexpressor: TOE1 overexpressor is late flowering under LD conditions. ( No data available under SD conditions.) [Jung et al., 2007][Aukerman et al., 2003][Jung et al., 2011][Jung et al., 2012] Multiple mutant: toe1;toe2 double mutant flowers earlier than either single mutants under LD conditions. ( No data available under SD conditions.) [Aukerman et al., 2003][Jung et al., 2011][Jung et al., 2012]Multiple mutant: smz, snz, toe1, and toe2 mutations have additive effects and lead to an early-flowering phenotype under LD conditions. ( No data available under SD conditions.) [Jung et al., 2011][Jung et al., 2012][Mathieu et al., 2009][Yant et al., 2010]","AT2G28550","Temperature pathwayHormone pathwayAging pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathwayMains targets of ABC(E)genesVernalization","Aukerman M J et al., 2003, Plant CellChen X et al., 2004, ScienceSchwab R et al., 2005, Dev. CellJung J et al., 2007, Plant CellMathieu J et al., 2009, PLoS Biol.Wu G et al., 2009, CellJung J et al., 2011, Plant Mol. Biol."
